iter	MultiLogloss	Recall:class=0	Recall:class=1	Recall:class=2	Recall:class=3	Recall:class=4	F1:class=0	F1:class=1	F1:class=2	F1:class=3	F1:class=4	Precision:class=0	Precision:class=1	Precision:class=2	Precision:class=3	Precision:class=4
0	0.6287315166	0.6098265896	0	0.01111111111	0	0	0.6160583942	0	0.02197802198	0	0	0.6224188791	1	1	1	1
1	0.5728085928	0.7196531792	0	0	0	0	0.7114285714	0	0	0	0	0.7033898305	1	1	1	1
2	0.53150988	0.6242774566	0	0	0	0	0.675	0	0	0	0	0.7346938776	1	1	1	1
3	0.4917872844	0.6878612717	0	0	0	0	0.7093889717	0	0	0	0	0.7323076923	1	1	1	1
4	0.4664442239	0.6647398844	0	0	0	0	0.6990881459	0	0	0	0	0.7371794872	1	1	1	1
5	0.4419787405	0.6098265896	0	0	0	0	0.6709062003	0	0	0	0	0.7455830389	1	1	1	1
6	0.4207987548	0.6820809249	0	0	0	0	0.7129909366	0	0	0	0	0.746835443	1	1	1	1
7	0.4015807495	0.7341040462	0	0	0	0	0.7351664255	0	0	0	0	0.7362318841	1	1	1	1
8	0.3872465125	0.8005780347	0	0	0	0	0.7599451303	0	0	0	0	0.7232375979	1	1	1	1
9	0.3778729467	0.7774566474	0	0	0	0	0.7524475524	0	0	0	0	0.72899729	1	1	1	1
10	0.3673824707	0.8265895954	0	0	0	0	0.7586206897	0	0	0	0	0.7009803922	1	1	1	1
11	0.3573957416	0.838150289	0	0	0	0	0.7532467532	0	0	0	0	0.6839622642	1	1	1	1
12	0.3494075752	0.8092485549	0	0	0	0	0.7547169811	0	0	0	0	0.7070707071	1	1	1	1
13	0.3427473367	0.7803468208	0	0	0	0	0.7489597781	0	0	0	0	0.72	1	1	1	1
14	0.3375315816	0.7572254335	0	0	0	0	0.7432624113	0	0	0	0	0.7298050139	1	1	1	1
15	0.3333554604	0.7601156069	0	0	0	0	0.7482219061	0	0	0	0	0.7366946779	1	1	1	1
16	0.3274994085	0.7803468208	0	0	0	0	0.7573632539	0	0	0	0	0.7356948229	1	1	1	1
17	0.3236320473	0.7919075145	0	0	0	0	0.7537826685	0	0	0	0	0.719160105	1	1	1	1
18	0.320553372	0.8034682081	0	0	0	0	0.7679558011	0	0	0	0	0.7354497354	1	1	1	1
19	0.3179451685	0.7976878613	0	0	0	0	0.7677329624	0	0	0	0	0.7399463807	1	1	1	1
20	0.314154407	0.789017341	0	0	0	0	0.7690140845	0	0	0	0	0.75	1	1	1	1
21	0.3110070622	0.789017341	0	0	0	0	0.7700987306	0	0	0	0	0.7520661157	1	1	1	1
22	0.3080915514	0.8034682081	0	0	0	0	0.7754532775	0	0	0	0	0.7493261456	1	1	1	1
23	0.3043694941	0.8063583815	0	0	0	0	0.7771587744	0	0	0	0	0.75	1	1	1	1
24	0.3011201727	0.8034682081	0	0	0	0	0.7787114846	0	0	0	0	0.7554347826	1	1	1	1
25	0.2987935894	0.8005780347	0	0	0	0	0.7802816901	0	0	0	0	0.760989011	1	1	1	1
26	0.2955727038	0.8063583815	0	0	0	0	0.7837078652	0	0	0	0	0.762295082	1	1	1	1
27	0.2935783505	0.8005780347	0	0	0	0	0.7813822285	0	0	0	0	0.7630853994	1	1	1	1
28	0.2919483454	0.8063583815	0	0	0	0	0.7881355932	0	0	0	0	0.770718232	1	1	1	1
29	0.2893648022	0.789017341	0	0	0	0	0.78	0	0	0	0	0.7711864407	1	1	1	1
30	0.288118625	0.7919075145	0	0	0	0	0.7817403709	0	0	0	0	0.7718309859	1	1	1	1
31	0.2866969523	0.7976878613	0	0	0	0	0.7852062589	0	0	0	0	0.7731092437	1	1	1	1
32	0.2852023368	0.7976878613	0	0	0	0	0.7863247863	0	0	0	0	0.7752808989	1	1	1	1
33	0.2840484889	0.7947976879	0	0	0	0	0.7868383405	0	0	0	0	0.7790368272	1	1	1	1
34	0.2818115801	0.8092485549	0	0	0	0	0.7954545455	0	0	0	0	0.782122905	1	1	1	1
35	0.280607965	0.8092485549	0	0	0	0	0.7943262411	0	0	0	0	0.7799442897	1	1	1	1
36	0.2791401399	0.8063583815	0	0	0	0	0.7971428571	0	0	0	0	0.7881355932	1	1	1	1
37	0.2760980018	0.8005780347	0	0.01111111111	0	0	0.7959770115	0	0.02197802198	0	0	0.7914285714	1	1	1	1
38	0.2748446864	0.8063583815	0	0.01111111111	0	0	0.7994269341	0	0.02197802198	0	0	0.7926136364	1	1	1	1
39	0.2729938995	0.8150289017	0	0.01111111111	0	0	0.8115107914	0	0.02197802198	0	0	0.8080229226	1	1	1	1
40	0.271556406	0.8092485549	0	0.01111111111	0	0	0.8104196816	0	0.02197802198	0	0	0.8115942029	1	1	1	1
41	0.2702882587	0.8265895954	0	0.02222222222	0	0	0.8159771755	0	0.04347826087	0	0	0.8056338028	1	1	1	1
42	0.2696303172	0.8208092486	0	0.02222222222	0	0	0.8137535817	0	0.04347826087	0	0	0.8068181818	1	1	1	1
43	0.2669684305	0.8121387283	0	0.02222222222	0	0	0.8121387283	0	0.04347826087	0	0	0.8121387283	1	1	1	1
