iter	Passed	Remaining
0	25	2568
1	39	1944
2	52	1702
3	66	1604
4	77	1472
5	86	1355
6	97	1300
7	111	1284
8	120	1220
9	131	1185
10	142	1156
11	154	1134
12	166	1112
13	176	1082
14	185	1050
15	197	1038
16	209	1025
17	221	1007
18	233	996
19	248	992
20	259	976
21	269	955
22	282	946
23	295	936
24	306	919
25	315	899
26	330	894
27	344	884
28	354	868
29	364	849
30	375	836
31	390	830
32	400	812
33	411	798
34	424	788
35	438	779
36	447	762
37	458	747
38	471	737
39	482	723
40	493	710
41	504	696
42	515	682
43	528	672
44	538	657
45	547	642
46	558	629
47	572	619
48	582	606
49	591	591
50	603	579
51	616	568
52	626	555
53	637	543
54	648	530
55	661	519
56	676	510
57	688	498
58	702	487
59	717	478
60	727	465
61	738	452
62	751	441
63	763	429
64	773	416
65	785	404
66	799	393
67	809	380
68	821	368
69	831	356
70	846	345
71	856	333
72	867	320
73	879	309
74	891	297
75	901	284
76	912	272
77	921	260
78	937	249
79	957	239
80	974	228
81	1023	224
82	1052	215
83	1074	204
84	1088	192
85	1109	180
86	1127	168
87	1147	156
88	1165	144
89	1180	131
90	1203	119
91	1219	106
92	1246	93
93	1268	80
94	1285	67
95	1318	54
96	1333	41
97	1350	27
98	1373	13
99	1393	0
